Population,Median Age,Household Income,median_home_value,Poverty Rate,Unemployment rate,house_count
17423.0,45.0,56714.0,202800.0,8.39120702519658,2.7492395109912184,213900
29970.0,23.2,48923.0,344000.0,27.864531197864533,4.240907574240907,333400
5228.0,44.1,70568.0,213700.0,4.399387911247131,2.9265493496557005,231500
14888.0,42.5,80502.0,258000.0,9.470714669532507,3.6472326706072,278400
1194.0,48.5,67250.0,235000.0,4.103852596314908,5.276381909547738,227600
3718.0,46.6,83273.0,267400.0,2.5551371705217862,3.5502958579881656,261700
1523.0,41.0,74722.0,188900.0,7.2225869993434015,3.6112934996717008,171200
22943.0,35.0,40876.0,173400.0,18.450071917360415,4.781414810617617,178700
30629.0,44.5,57851.0,179300.0,10.336609095954817,4.068040092722582,190400
2528.0,41.1,44701.0,121100.0,25.474683544303797,5.102848101265823,123000
1018.0,51.2,50924.0,259100.0,4.4204322200392925,2.161100196463654,219300
17872.0,45.1,61217.0,247900.0,9.92614145031334,4.302820053715308,266600
16063.0,46.0,83003.0,259800.0,4.214654796737845,2.9508809064309283,263900
11278.0,44.9,64874.0,241800.0,9.966306082638766,2.065969143465153,248000
6310.0,45.5,86951.0,262100.0,4.595879556259905,2.218700475435816,249100
2323.0,46.6,82159.0,262400.0,9.900990099009901,3.5299182092122257,270700
5338.0,46.3,62634.0,325900.0,7.19370550768078,0.5432746346946422,345900
5190.0,48.7,80375.0,271200.0,4.932562620423892,3.8150289017341037,273000
2853.0,50.7,65887.0,282700.0,5.5029793200140205,1.3669821240799158,308300
40280.0,34.4,38829.0,188600.0,27.87239324726912,4.90566037735849,200800
2343.0,45.7,72386.0,220000.0,9.432351685872812,1.749893299189074,205800
1697.0,49.8,66528.0,278600.0,14.790807307012374,2.4749558043606363,280900
1972.0,48.0,86771.0,344200.0,4.259634888438134,2.129817444219067,334800
21352.0,44.2,64537.0,228300.0,5.264143874110153,3.3205320344698386,222800
15407.0,35.0,56128.0,319200.0,14.655675991432464,3.6671642759784513,317600
10867.0,43.8,73913.0,314300.0,13.297138124597405,4.085764240360725,302900
1825.0,45.0,85052.0,271600.0,3.3972602739726026,2.904109589041096,290400
1271.0,47.9,70938.0,225500.0,1.3375295043273014,2.753737214791503,230600
1542.0,46.8,75658.0,267200.0,12.12710765239948,4.669260700389105,255300
6081.0,48.4,90318.0,322000.0,4.127610590363426,3.4698240420983386,310000
17770.0,40.8,61821.0,227300.0,8.576252110298256,3.5396736072031514,237800
9650.0,45.7,76576.0,283300.0,5.7409326424870475,2.300518134715026,250200
1823.0,43.5,51182.0,195000.0,5.4854635216675804,3.2912781130005486,216300
10612.0,43.2,52178.0,185800.0,13.513004146249529,4.589144364869958,190100
3148.0,36.3,45954.0,200000.0,7.782719186785259,2.255400254129606,212300
41479.0,39.0,63283.0,223700.0,8.869548446201692,4.549290002169774,259800
28575.0,39.1,50649.0,202400.0,13.063867016622922,4.57742782152231,222300
1191.0,46.8,77150.0,251800.0,14.777497900923596,3.5264483627204033,200700
14569.0,47.6,95679.0,287800.0,3.7545473265152034,1.99739172214977,295000
2564.0,44.3,73589.0,269800.0,8.736349453978159,3.1201248049922,255900
1117.0,50.0,77083.0,266400.0,5.819158460161146,0.9847806624888094,239700
23183.0,35.2,28590.0,132400.0,31.12194280291593,5.67657335116249,147200
15983.0,46.4,105822.0,327700.0,4.0042545204279545,2.5714821998373267,350000
11474.0,29.1,22956.0,161400.0,45.1106850270176,9.438731044099702,156000
28449.0,31.4,36890.0,152200.0,29.69172905901789,5.3007135575942925,162600
30139.0,27.4,35076.0,129300.0,27.03142108231859,5.331961909817844,135200
14293.0,38.6,60295.0,157300.0,14.181767298677675,3.652137409920941,177300
13091.0,35.4,49083.0,149700.0,14.911007562447484,5.858987090367428,165200
2695.0,47.6,70078.0,168200.0,2.152133580705009,5.231910946196661,194000
7220.0,41.5,60776.0,164000.0,13.988919667590027,4.445983379501384,177600
9295.0,32.0,36541.0,133500.0,28.090371167294244,5.551371705217859,150900
45001.0,43.4,45893.0,172400.0,15.892980155996533,5.253216595186774,165200
8266.0,45.1,48422.0,149700.0,10.307282845390755,4.379385434309219,141300
2247.0,52.2,72981.0,259900.0,5.740987983978638,4.0498442367601255,221800
3192.0,49.0,58145.0,198800.0,4.824561403508771,4.9185463659147866,201700
6885.0,47.2,57202.0,187500.0,10.631808278867105,3.9796659404502543,185900
8195.0,49.4,59702.0,344300.0,5.356924954240389,3.5753508236729714,375500
2666.0,47.6,60718.0,193200.0,6.9392348087021745,3.675918979744936,204800
5950.0,48.7,63109.0,250800.0,10.201680672268909,2.3865546218487395,248800
4592.0,58.3,54250.0,369400.0,7.687282229965158,2.6785714285714284,325200
870.0,54.7,66136.0,427600.0,12.183908045977011,2.7586206896551726,436800
15725.0,44.4,38007.0,154100.0,16.406995230524643,5.233704292527822,136200
985.0,58.7,89583.0,447500.0,6.903553299492387,3.1472081218274117,367900
869.0,50.5,67333.0,288600.0,4.142692750287687,3.4522439585730726,250400
2164.0,52.6,50688.0,314500.0,15.75785582255083,3.8354898336414047,288100
1196.0,54.3,45500.0,366200.0,13.7123745819398,2.508361204013378,397400
1380.0,56.6,68542.0,380800.0,4.63768115942029,1.2318840579710144,418300
7846.0,31.2,73085.0,299300.0,7.443283201631403,3.1608462911037467,299000
814.0,51.2,71250.0,279300.0,8.5995085995086,3.0712530712530715,212600
17730.0,42.6,49024.0,185300.0,12.504230118443315,3.0908065425831923,195400
1468.0,50.2,79118.0,276200.0,5.517711171662126,1.6348773841961852,273300
